symbol,company_name,as_of_date,sector,sub_sector,board,is_event_90d,event_date,event_category,already_flagged,data_complete,feature_max_source_date,raw_revenue,raw_earnings,raw_total_equity,raw_total_liabilities,raw_total_assets,raw_total_debt,raw_operating_cash_flow,raw_free_cash_flow,raw_report_date,raw_close,raw_volume,raw_market_cap,raw_free_float,lapor_jarak_hari,lapor_terlambat,tanpa_pendapatan,ekuitas_negatif,utang_terhadap_aset,ako_negatif_berturut,hari_tanpa_transaksi_90d,rasio_volume_30_90,hari_di_batas_bawah_90d,turun_dari_puncak_90d,volatilitas_90d,free_float_rendah
MGLV.JK,PT Panca Anugrah Wisesa Tbk,2026-08-31,Consumer Cyclicals,Household Goods,Acceleration,0,2026-09-09,A,0,1,2026-08-31,,,114233933519,69809832851,184043766370,7625053.0,,,2026-06-30,12225,1515100,23287199699475,,62,1,,0,0.37931104230205176,0,0,2.235153644556656,0,0.0,0.03645109056675026,
SOHO.JK,PT Soho Global Health Tbk,2026-08-31,Healthcare,Pharmaceuticals & Health Care Research,Development,0,,,0,1,2026-08-31,2726781000000.0,183064000000.0,2454603000000,3139705000000,5594308000000,4504000000.0,324210000000.0,316783000000.0,2026-06-30,1195,19700,15166560456050,,62,1,0.0,0,0.561232059443277,0,0,0.8215178229964789,0,0.032388663967611336,0.022618745424379597,
BELI.JK,PT Global Digital Niaga Tbk,2026-08-31,Technology,Software & IT Services,New Economy,0,,,0,1,2026-08-31,6995135000000.0,-408352000000.0,9336174000000,9414947000000,18751121000000,3702772000000.0,-71356000000.0,-144340000000.0,2026-06-30,262,810900,35951374250518,,62,1,0.0,0,0.5021004877521723,4,0,1.819914840564583,0,0.13815789473684212,0.01915607754561537,
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk,2026-08-31,Healthcare,Healthcare Equipment & Providers,Main,0,,,0,1,2026-08-31,657127000000.0,-154081000000.0,1091118000000,6530636000000,7621754000000,4262967000000.0,90941000000.0,-155705000000.0,2026-06-30,13700,5700,167673751863000,,62,1,0.0,0,0.8568416141481344,0,1,0.12900331173183105,0,0.08666666666666667,0.041234822995282916,
BRPT.JK,Barito Pacific Tbk,2026-08-31,Basic Materials,Basic Materials,Main,0,,,0,1,2026-08-31,55767627916000.0,1790061091000.0,116231165876000,222987460304000,339218626180000,153428599191000.0,2561024718000.0,-1392953877000.0,2026-06-30,1785,120064100,167338784208540,,62,1,0.0,0,0.6573561800397006,0,0,0.7223781119315785,0,0.08461538461538462,0.04340531655745151,
TPIA.JK,PT Chandra Asri Pacific Tbk,2026-08-31,Basic Materials,Basic Materials,Development,0,,,0,1,2026-08-31,52713056172000.0,2454078193000.0,88856274185000,157543632988000,246399907173000,105799861363000.0,3593045260000.0,-707905450000.0,2026-06-30,1955,130464400,169130070654860,,62,1,0.0,0,0.6393818682625839,0,0,0.7487629340036442,0,0.1425438596491228,0.042543274423339744,
UDNG.JK,PT Agro Bahari Nusantara Tbk,2026-08-31,Consumer Non-Cyclicals,Food & Beverage,Acceleration,0,2026-09-16,A,1,1,2026-08-31,,,48190746814,6954165453,55144912267,,,,2026-06-30,1430,2285500,2502557302960,,62,1,,0,0.12610710883588683,0,0,1.0239342832651692,0,0.23733333333333334,0.05756385928162523,
PACK.JK,PT Abadi Nusantara Hijau Investama Tbk,2026-08-31,Basic Materials,Basic Materials,Acceleration,0,2026-09-01,A,1,1,2026-08-31,,,5194540056633,73912838529,5268452895162,817362404.0,,,2026-06-30,560,237278600,19099432111760,,62,1,,0,0.01402932511684291,0,1,1.7432880665910708,0,0.0,0.05260696880514217,
MDIA.JK,PT Intermedia Capital Tbk,2026-08-31,Consumer Cyclicals,Media & Entertainment,Watchlist,0,,,1,1,2026-08-31,141716426000.0,-8280082000.0,935495254000,2194222124000,3129717378000,3299889000.0,33342610000.0,31858578000.0,2026-03-31,264,39874200,10352902137600,,153,1,0.0,0,0.7010927374541996,0,7,0.968869332803065,0,0.05714285714285714,0.08828235547746356,
LUCY.JK,PT Lima Dua Lima Tiga Tbk,2026-08-31,Consumer Cyclicals,Consumer Services,Acceleration,0,,,1,1,2026-08-31,,,21071931970,47909736398,68981668368,1101724170.0,,,2026-06-30,406,159789000,614998200558,,62,1,,0,0.6945285252077915,0,1,2.2043150003998195,0,0.7568862275449102,0.07013650273724284,
