symbol,snapshot_date,free_float,sub_sector,fetched_at,raw_response
NASA.JK,2026-09-03,0.5729,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'NASA.JK', 'free_float': 0.5729, 'company_name': 'PT Andalan Perkasa Abadi Tbk'}"
KBLV.JK,2026-09-03,0.5704,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KBLV.JK', 'free_float': 0.5704, 'company_name': 'First Media Tbk'}"
HOPE.JK,2026-09-03,0.5648,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'HOPE.JK', 'free_float': 0.5648, 'company_name': 'PT Harapan Duta Pertiwi Tbk'}"
OASA.JK,2026-09-03,0.5631,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'OASA.JK', 'free_float': 0.5631, 'company_name': 'PT Maharaksa Biru Energi Tbk'}"
UNSP.JK,2026-09-03,0.5589,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'UNSP.JK', 'free_float': 0.5589, 'company_name': 'Bakrie Sumatera Plantations Tbk'}"
ARTI.JK,2026-09-03,0.5574,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ARTI.JK', 'free_float': 0.5574, 'company_name': 'Ratu Prabu Energi Tbk'}"
ENRG.JK,2026-09-03,0.55482,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'ENRG.JK', 'free_float': 0.55482, 'company_name': 'Energi Mega Persada Tbk'}"
EAST.JK,2026-09-03,0.5535,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'EAST.JK', 'free_float': 0.5535, 'company_name': 'PT Eastparc Hotel Tbk'}"
MTFN.JK,2026-09-03,0.55199,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MTFN.JK', 'free_float': 0.55199, 'company_name': 'Capitalinc Investment Tbk'}"
VIVA.JK,2026-09-03,0.5513,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'VIVA.JK', 'free_float': 0.5513, 'company_name': 'PT Visi Media Asia Tbk'}"
CPRO.JK,2026-09-03,0.5483,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'CPRO.JK', 'free_float': 0.5483, 'company_name': 'Central Proteina Prima Tbk'}"
MDKA.JK,2026-09-03,0.54566,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MDKA.JK', 'free_float': 0.54566, 'company_name': 'PT Merdeka Copper Gold Tbk'}"
CNKO.JK,2026-09-03,0.544,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'CNKO.JK', 'free_float': 0.544, 'company_name': 'Exploitasi Energi Indonesia Tbk'}"
BUMI.JK,2026-09-03,0.5421,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BUMI.JK', 'free_float': 0.5421, 'company_name': 'Bumi Resources Tbk'}"
CITY.JK,2026-09-03,0.5415,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'CITY.JK', 'free_float': 0.5415, 'company_name': 'PT Natura City Developments Tbk.'}"
IPPE.JK,2026-09-03,0.5337,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'IPPE.JK', 'free_float': 0.5337, 'company_name': 'PT Indo Pureco Pratama Tbk'}"
PURA.JK,2026-09-03,0.5324,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PURA.JK', 'free_float': 0.5324, 'company_name': 'PT Putra Rajawali Kencana Tbk'}"
KPIG.JK,2026-09-03,0.532,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KPIG.JK', 'free_float': 0.532, 'company_name': 'MNC Tourism Indonesia Tbk'}"
BRRC.JK,2026-09-03,0.5231,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BRRC.JK', 'free_float': 0.5231, 'company_name': 'PT Raja Roti Cemerlang Tbk'}"
KOTA.JK,2026-09-03,0.519,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KOTA.JK', 'free_float': 0.519, 'company_name': 'PT DMS Propertindo Tbk'}"
RICY.JK,2026-09-03,0.5171,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'RICY.JK', 'free_float': 0.5171, 'company_name': 'Ricky Putra Globalindo Tbk'}"
HEAL.JK,2026-09-03,0.51684,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'HEAL.JK', 'free_float': 0.51684, 'company_name': 'PT Medikaloka Hermina Tbk'}"
SBAT.JK,2026-09-03,0.51521,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SBAT.JK', 'free_float': 0.51521, 'company_name': 'PT Sejahtera Bintang Abadi Textile Tbk'}"
SSIA.JK,2026-09-03,0.5151,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SSIA.JK', 'free_float': 0.5151, 'company_name': 'PT Surya Semesta Internusa Tbk'}"
TRIM.JK,2026-09-03,0.514,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'TRIM.JK', 'free_float': 0.514, 'company_name': 'PT Trimegah Sekuritas Indonesia Tbk'}"
WOWS.JK,2026-09-03,0.5138,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'WOWS.JK', 'free_float': 0.5138, 'company_name': 'PT Ginting Jaya Energi Tbk'}"
PBRX.JK,2026-09-03,0.50752,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PBRX.JK', 'free_float': 0.50752, 'company_name': 'Pan Brothers Tbk'}"
KBLI.JK,2026-09-03,0.5053,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KBLI.JK', 'free_float': 0.5053, 'company_name': 'KMI Wire and Cable Tbk'}"
PIPA.JK,2026-09-03,0.5007,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'PIPA.JK', 'free_float': 0.5007, 'company_name': 'PT Multi Makmur Lemindo Tbk'}"
INDF.JK,2026-09-03,0.4991,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'INDF.JK', 'free_float': 0.4991, 'company_name': 'Indofood Sukses Makmur Tbk'}"
SMMA.JK,2026-09-03,0.49904,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SMMA.JK', 'free_float': 0.49904, 'company_name': 'PT Sinar Mas Multiartha Tbk'}"
